State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Urban_Households,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Having_latrine_facility_within_the_premises_Total_Households,sex_ration,Literacy_rate
Orissa,Mayurbhanj,21.89762155,86.40304081,376,2519738,1256213,1263525,1369397,794171,29031,140189,2950,17999,64479,1455985,1094844,2550829,1449729,650135,418435,6279,62502,4642,109355,1006.0,54.35
Orissa,Nayagarh,20.19289562,85.056147,385,962789,502636,460153,688362,392333,11159,124984,1163,8278,26688,745059,232558,977617,502136,262086,141578,2270,24290,1529,43798,915.0,71.5
Orissa,Nuapada,20.47130951,82.59152537,394,610382,301962,308420,299383,180903,6414,43976,757,4221,11869,338480,316086,654566,344075,152681,107595,1346,12482,1029,23219,1021.0,49.05
Orissa,Puri,19.83509175,85.8669899,387,1698730,865380,833350,1291939,704857,33331,201605,3416,16006,72210,1395194,309790,1704984,888134,477430,244309,4693,57033,4984,87997,963.0,76.05
Orissa,Rayagada,19.29284002,83.4586012,396,967911,471960,495951,407735,241959,24924,61543,1553,9166,49205,346980,583140,930120,577569,245766,80566,2090,19440,2465,33500,1051.0,42.13
Orissa,Sambalpur,21.51575238,84.34958483,372,1041099,526877,514222,703691,393192,33612,126498,5231,14521,94798,708229,282248,990477,565700,286575,176565,5946,47662,8681,56878,976.0,67.59
Orissa,Sundargarh,22.06354819,84.50524819,374,2093437,1061147,1032290,1342322,750147,77581,223537,12787,35024,230151,1388888,660465,2049353,1188918,573238,341323,14641,102703,20964,132466,973.0,64.12
Puducherry,Karaikal,10.87616173,79.82369794,637,200222,97809,102413,154916,79903,28366,47880,1868,4870,33715,154561,32717,187278,102333,60089,27503,2550,19793,3646,30326,1047.0,77.37
Puducherry,Mahe,12.00642079,75.28275022,636,41816,19143,22673,36470,16610,3632,7150,574,1484,12110,36858,2993,39851,19760,12543,868,858,1747,817,7041,1184.0,87.22
Puducherry,Yanam,16.70769565,82.26187304,634,55626,27301,28325,39274,19919,10399,12859,207,597,15519,40860,14923,55783,31973,15235,6523,226,2571,379,10895,1038.0,70.6
Punjab,Amritsar,31.54867982,74.79883857,49,2490656,1318408,1172248,1684770,932981,279993,461231,29961,63864,385476,1485800,540010,2025810,1384987,667193,286368,56185,225063,49521,379230,889.0,67.64
Punjab,Bathinda,30.19052461,75.05685898,46,1388525,743197,645328,844868,488261,118427,255650,11284,32253,137563,793380,438529,1231909,754927,377707,176384,36173,106010,24238,232629,868.0,60.85
Punjab,Faridkot,30.59118725,74.79751554,45,617508,326671,290837,381285,215767,62103,113549,4348,12276,58917,373752,204895,578647,336540,164962,82761,15528,51638,9745,99988,890.0,61.75
Punjab,Fatehgarh Sahib,30.64290947,76.36208395,40,600163,320795,279368,426033,238696,64037,113683,5138,14294,57337,432310,142314,574624,321018,166781,84834,18239,63700,11551,99858,871.0,70.99
Punjab,Firozpur,30.63407535,74.40245732,43,2029074,1071637,957437,1227511,707070,141899,349662,10042,31070,153868,1207928,714869,1922797,1171770,525459,237901,37105,148610,22046,274015,893.0,60.5
Punjab,Gurdaspur,32.04283371,75.32040644,35,2298323,1212617,1085706,1634719,907660,244468,411216,14428,38445,185488,1528979,478020,2006999,1261421,611353,280874,32484,194705,26895,258924,895.0,71.13
Punjab,Hoshiarpur,31.5515717,75.84698574,38,1586625,809057,777568,1199699,637927,201675,319930,13747,34328,128592,1227466,294723,1522189,831741,422782,227316,33720,166862,27207,210621,961.0,75.61
Punjab,Jalandhar,31.25033691,75.54400351,37,2193590,1145211,1048379,1622537,882581,299449,446200,39082,79134,377791,1575774,387809,1963583,1159156,616431,286365,72374,238203,65696,392909,915.0,73.97
Punjab,Kapurthala,31.33659264,75.47641166,36,815168,426311,388857,576567,316254,110555,161206,9732,23145,95770,575495,174995,750490,433331,222324,107044,23561,90508,18981,137713,912.0,70.73
Punjab,Ludhiana,30.76596397,75.83110852,41,3498739,1867816,1630923,2560225,1428348,488757,703624,58589,123400,641789,2372099,631980,3004079,1901528,980046,461137,120172,360662,101595,667902,873.0,73.18
Punjab,Mansa,29.91954771,75.43049229,47,769751,408732,361019,423560,244037,39414,140099,2673,10085,50786,434158,311513,745671,420050,200882,90845,12805,48117,6347,99571,883.0,55.03
Punjab,Moga,30.75654007,75.16008451,42,995746,525920,469826,627889,348549,89445,183396,7897,21662,74144,638000,306336,944336,535408,258826,140084,26253,85167,15888,167596,893.0,63.06
Punjab,Muktsar,30.31243303,74.55187477,44,901896,475622,426274,524848,300401,76441,166585,4571,14077,74650,544427,340886,885313,495167,242628,109666,23185,62205,10160,133635,896.0,58.19
Punjab,Patiala,30.21454038,76.27505894,48,1895686,1002522,893164,1266791,711052,209192,352929,24274,55105,218090,1280816,518772,1799588,1042519,517079,253101,57008,193945,46072,309524,891.0,66.82
Punjab,Rupnagar,30.91093733,76.53743501,51,684627,357485,327142,502731,278534,67749,129123,6600,17542,60537,492696,124100,616796,365300,185424,95548,17248,72313,13714,88385,915.0,73.43
Punjab,Sangrur,30.1850452,75.89437014,53,1655169,878029,777140,1002077,570413,135280,305557,10736,30955,156788,1054379,570103,1624482,904316,435148,240629,35264,146931,23004,259912,885.0,60.54
Rajasthan,Ajmer,26.19930038,74.69904192,119,2583052,1324085,1258967,1526673,926268,171799,393498,13499,41732,274919,1618919,1034334,2653253,1561077,629951,187324,24509,175460,29286,204571,951.0,59.1
Rajasthan,Alwar,27.55271738,76.65359631,104,3674179,1939026,1735153,2182476,1359829,123478,485723,9750,45770,212967,2262867,1384905,3647772,2346721,836000,242678,30207,179435,22416,172919,895.0,59.4
Rajasthan,Banswara,23.45364203,74.44246868,125,1797485,907754,889731,829343,513854,34189,120603,2324,15062,39407,748794,1040914,1789708,1153029,406214,39865,5287,45930,4888,45574,980.0,46.14
Rajasthan,Baran,24.98023243,76.86210652,128,1222755,633945,588810,693307,432607,32685,161310,1363,9491,69804,722755,545842,1268597,762204,286344,61129,5741,59954,3107,42258,929.0,56.7
Rajasthan,Barmer,25.77070908,71.50297126,115,2603751,1369022,1234729,1188322,783461,39580,126494,2766,37730,55980,1179796,1501858,2681654,1731122,527629,47366,27009,39804,5298,66597,902.0,45.64
Rajasthan,Bharatpur,27.32411858,77.21752077,105,2548462,1355726,1192736,1480869,943910,61113,288723,4179,26106,129697,1524305,1104824,2629129,1659515,546362,152915,10349,99846,8429,85903,880.0,58.11
Rajasthan,Bhilwara,25.45119768,74.63947596,122,2408523,1220736,1187787,1256126,777582,93768,373644,6207,24014,145865,1347909,1180456,2528365,1439454,589476,212245,17508,150972,13309,115740,973.0,52.15
Rajasthan,Bikaner,28.12489068,73.26943323,101,2363937,1240801,1123136,1278801,782399,108812,220793,7607,29531,196179,1341957,1015331,2357288,1543867,517271,97914,17113,68379,15765,195188,905.0,54.1
Rajasthan,Bundi,25.48580716,75.79984074,121,1110906,577160,533746,585044,371705,33406,136969,1392,7705,63452,585809,553622,1139431,686771,267648,86810,5787,58255,3132,42082,925.0,52.66
Rajasthan,Chittaurgarh,24.63162376,74.80010998,126,1544338,783171,761167,821825,514851,59190,268172,4941,16560,88873,868699,715545,1584244,880043,398303,173375,11261,103489,9661,67820,972.0,53.22
Rajasthan,Churu,28.29330376,74.65846427,102,2039547,1051446,988101,1149269,696729,74197,231696,2577,15259,148996,1228712,910226,2138938,1293193,458725,46531,9938,27698,4720,200805,940.0,56.35
Rajasthan,Dausa,26.91234818,76.57342097,109,1634409,857787,776622,938051,596935,35600,195277,1719,14539,59610,1005436,681980,1687416,1047136,358718,84799,6664,62106,3856,50480,905.0,57.39
Rajasthan,Dhaulpur,26.72397055,77.7447622,106,1206516,653647,552869,683098,435721,24561,96086,1330,9504,58626,682444,552106,1234550,815651,248416,80614,3614,31120,2139,33172,846.0,56.62
Rajasthan,Dungarpur,23.75104808,73.84765641,124,1388552,696532,692020,681591,415820,26351,141275,1477,11742,31547,675840,764563,1440403,868458,317700,18435,4385,34909,3252,38043,994.0,49.09
Rajasthan,Ganganagar,29.25678541,73.56192303,99,1969168,1043340,925828,1193343,710908,88543,283142,6295,24901,164897,1181845,710223,1892068,1167889,502211,149905,21515,85320,15323,316783,887.0,60.6
Rajasthan,Hanumangarh,29.18133518,74.74632573,100,1774692,931184,843508,1034136,624281,55515,243163,3360,16217,108694,1088552,723454,1812006,1058044,453114,93418,16537,56973,7808,278373,906.0,58.27
Rajasthan,Jaipur,27.03345929,75.77117286,110,6626178,3468507,3157671,4300965,2554793,570997,990085,76565,182350,977838,4433665,2046038,6479703,4091148,1646480,393025,142866,523398,141437,694107,910.0,64.91
Rajasthan,Jaisalmer,26.86900839,71.18371877,114,669919,361708,308211,308653,210415,12431,43141,754,7416,30830,267105,397649,664754,448969,140294,11291,5218,11355,1426,26456,852.0,46.07
